20181101	1.451020408163269
20181102	5.777419354838628
20181103	nan
20181112	-85.30897435897441
20181113	-20.901632653061267
20181114	-50.53632653061225
20181115	-172.7412244897959
20181116	-124.31836734693877
20181117	-101.95795918367348
20181118	-224.2583673469388
20181119	-36.955918367346925
20181120	-65.58285714285715
20181121	-221.065306122449
20181122	9.504897959183667
20181123	0.09714285714287088
20181124	-1.1967346938775336
20181125	-42.44897959183673
20181126	-62.55510204081633
20181127	-33.21999999999999
20181128	-736.495102040816
